,excluded_id,group1,group2,correlation_excluded,correlation_all,correlation_difference,stdev,threshold
9,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Conformisme,0.34526120258906157,0.13318167329304428,-0.21207952929601728,0.05287964206541225,0.1057592841308245
39,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Competitie,Contactbehoefte,0.22242043780626783,0.08956221510397983,-0.132858222702288,0.04367957960781374,0.08735915921562748
55,376aa464-a5f7-5aed-acd9-7dceb37ded9d,Competitie,Dominantie,0.09477585563160541,0.2089785019092862,0.1142026462776808,0.043054058318005115,0.08610811663601023
64,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Competitie,Dominantie,0.32607145567839946,0.2089785019092862,-0.11709295376911324,0.043054058318005115,0.08610811663601023
84,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Energie,0.5883339743225471,0.4089925906086189,-0.17934138371392816,0.0496000403126342,0.0992000806252684
109,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Frustratietolerantie,0.44514332631481696,0.2647062562056961,-0.18043707010912086,0.0454557832910961,0.0909115665821922
134,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Hartelijkheid,0.4822382070311693,0.3005113041957458,-0.18172690283542353,0.04848752257103118,0.09697504514206236
155,376aa464-a5f7-5aed-acd9-7dceb37ded9d,Competitie,Incasseringsvermogen,-0.006786734917722086,0.12215999065981037,0.12894672557753245,0.04455395036873244,0.08910790073746488
159,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Incasseringsvermogen,0.2556116423305628,0.12215999065981037,-0.13345165167075246,0.04455395036873244,0.08910790073746488
184,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Nauwkeurigheid,0.636427179549019,0.5317409351003541,-0.10468624444866481,0.039336843575297854,0.07867368715059571
198,230154a9-def4-5404-a86e-ec8626ee4c95,Competitie,Nauwkeurigheid,0.42764947718827256,0.5317409351003541,0.10409145791208158,0.039336843575297854,0.07867368715059571
209,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Onafhankelijkheid,0.0300511304195746,0.10870421459483097,0.07865308417525638,0.036120433402219994,0.07224086680443999
224,de12a2c7-d545-55e2-bd43-69fab0a50149,Competitie,Onafhankelijkheid,0.022635010221689986,0.10870421459483097,0.08606920437314099,0.036120433402219994,0.07224086680443999
234,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Ordelijkheid,0.5358834499310282,0.2634932655208395,-0.2723901844101887,0.06594358094335764,0.1318871618867153
273,230154a9-def4-5404-a86e-ec8626ee4c95,Competitie,Originaliteit,0.27712817319089655,0.18105170609447532,-0.09607646709642123,0.042009048201790834,0.08401809640358167
274,de12a2c7-d545-55e2-bd43-69fab0a50149,Competitie,Originaliteit,0.04121856639928089,0.18105170609447532,0.13983313969519442,0.042009048201790834,0.08401809640358167
284,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Positivisme,0.5065017601232379,0.37786230183776776,-0.12863945828547013,0.03578527271268053,0.07157054542536107
314,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Competitie,Regelmaat,-0.08925126200637168,0.020676697573831376,0.10992795958020306,0.04888465676403752,0.09776931352807504
323,230154a9-def4-5404-a86e-ec8626ee4c95,Competitie,Regelmaat,0.15959231693863415,0.020676697573831376,-0.1389156193648028,0.04888465676403752,0.09776931352807504
333,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Competitie,Sociaal Ontspannen,0.11028632180048584,0.2098443532134659,0.09955803141298006,0.045554951843555604,0.09110990368711121
334,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Sociaal Ontspannen,0.3185273797238241,0.2098443532134659,-0.10868302651035822,0.045554951843555604,0.09110990368711121
347,0b8c4ad8-0c0a-58a8-9c41-6afa58400dc3,Competitie,Sociaal Ontspannen,0.30298123157016127,0.2098443532134659,-0.09313687835669537,0.045554951843555604,0.09110990368711121
362,5e3ed26e-b8d0-53f5-be5a-38296109877d,Competitie,Status,0.5825160554173135,0.473600416180898,-0.10891563923641556,0.04649818834438519,0.09299637668877038
373,230154a9-def4-5404-a86e-ec8626ee4c95,Competitie,Status,0.3369024147692942,0.473600416180898,0.13669800141160376,0.04649818834438519,0.09299637668877038
374,de12a2c7-d545-55e2-bd43-69fab0a50149,Competitie,Status,0.5768213741910428,0.473600416180898,-0.10322095801014486,0.04649818834438519,0.09299637668877038
384,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Variatiebehoefte,0.32152230485955213,0.2397010395377224,-0.08182126532182973,0.04045339262766456,0.08090678525532911
389,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Competitie,Variatiebehoefte,0.3249869003171982,0.2397010395377224,-0.08528586077947578,0.04045339262766456,0.08090678525532911
398,230154a9-def4-5404-a86e-ec8626ee4c95,Competitie,Variatiebehoefte,0.13278725466691005,0.2397010395377224,0.10691378487081235,0.04045339262766456,0.08090678525532911
416,61369f33-c11d-5d29-80ed-d751b8246cd1,Competitie,Vertrouwen,0.1244976611902997,0.01243411828254983,-0.11206354290774988,0.04510147546166481,0.09020295092332963
423,230154a9-def4-5404-a86e-ec8626ee4c95,Competitie,Vertrouwen,-0.09513496879235306,0.01243411828254983,0.10756908707490288,0.04510147546166481,0.09020295092332963
434,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Volharding,0.5541285444784699,0.3581715745056701,-0.19595696997279982,0.05276650516531721,0.10553301033063442
448,230154a9-def4-5404-a86e-ec8626ee4c95,Competitie,Volharding,0.2338055997658147,0.3581715745056701,0.12436597473985542,0.05276650516531721,0.10553301033063442
459,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Weloverwogen,0.3014365285798279,0.20699797177276844,-0.09443855680705945,0.046370316856118254,0.09274063371223651
474,de12a2c7-d545-55e2-bd43-69fab0a50149,Competitie,Weloverwogen,0.10176282527194415,0.20699797177276844,0.10523514650082429,0.046370316856118254,0.09274063371223651
492,c22e1828-5784-556c-a41b-541e88bbe819,Competitie,Zelfonthulling,-0.402744752258122,-0.27459810441807064,0.12814664784005136,0.03743700780112623,0.07487401560225246
494,c6323f05-ac11-5726-b4a1-474fa2d166a8,Competitie,Zelfonthulling,-0.3516634678363887,-0.27459810441807064,0.07706536341831804,0.03743700780112623,0.07487401560225246
523,230154a9-def4-5404-a86e-ec8626ee4c95,Competitie,Zelfontwikkeling,0.23710909914093065,0.3755338080994054,0.13842470895847475,0.04133757063271615,0.0826751412654323
533,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Competitie,Zelfvertoon,0.13084433518346672,0.24370871833797697,0.11286438315451025,0.0469447125737879,0.0938894251475758
548,230154a9-def4-5404-a86e-ec8626ee4c95,Competitie,Zelfvertoon,0.3884297643146272,0.24370871833797697,-0.14472104597665025,0.0469447125737879,0.0938894251475758
559,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Zelfvertrouwen,0.2365689474849831,0.08827348295047495,-0.14829546453450815,0.044974895504255485,0.08994979100851097
584,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Zorgzaamheid,0.10249622080229069,-0.03861723528904683,-0.14111345609133752,0.04663797085585182,0.09327594171170364
603,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Contactbehoefte,0.10107842189513391,0.25526017736752343,0.15418175547238952,0.047048231199705505,0.09409646239941101
608,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Contactbehoefte,0.3714346998020959,0.25526017736752343,-0.11617452243457249,0.047048231199705505,0.09409646239941101
630,376aa464-a5f7-5aed-acd9-7dceb37ded9d,Conformisme,Dominantie,-0.10300302058847634,0.009542436537103651,0.11254545712557999,0.043605805760077145,0.08721161152015429
633,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Dominantie,0.12050556715793623,0.009542436537103651,-0.11096313062083257,0.043605805760077145,0.08721161152015429
653,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Energie,0.22510310493422117,0.35138306687257714,0.12627996193835597,0.05081358188263098,0.10162716376526196
658,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Energie,0.5290736390200431,0.35138306687257714,-0.17769057214746597,0.05081358188263098,0.10162716376526196
678,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Frustratietolerantie,0.5720775535473553,0.6381985263777971,0.06612097283044172,0.028656740186383693,0.057313480372767386
695,54607c72-f7f0-5106-874f-ff352975ea48,Conformisme,Frustratietolerantie,0.708167689454317,0.6381985263777971,-0.0699691630765199,0.028656740186383693,0.057313480372767386
703,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Hartelijkheid,0.4146636143525127,0.5054854169870202,0.09082180263450751,0.04356355770181043,0.08712711540362086
708,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Hartelijkheid,0.6592700007238832,0.5054854169870202,-0.153784583736863,0.04356355770181043,0.08712711540362086
729,24e2d531-6fab-5f5b-9282-a488302c6547,Conformisme,Incasseringsvermogen,0.4151528454662732,0.5106444934249632,0.09549164795869003,0.03445958080945356,0.06891916161890713
753,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Nauwkeurigheid,0.2659489427040308,0.39459106182660275,0.12864211912257195,0.03781399073698614,0.07562798147397227
779,24e2d531-6fab-5f5b-9282-a488302c6547,Conformisme,Onafhankelijkheid,-0.6108006421087135,-0.6694354011188038,-0.0586347590100903,0.02172369533278229,0.04344739066556458
803,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Ordelijkheid,0.23354968324845693,0.3417004325827861,0.10815074933432917,0.04856039500147783,0.09712079000295566
808,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Ordelijkheid,0.44842502760789005,0.3417004325827861,-0.10672459502510395,0.04856039500147783,0.09712079000295566
809,3e44802d-3364-5f3a-af67-a038e335a656,Conformisme,Ordelijkheid,0.18292727894037836,0.3417004325827861,0.15877315364240774,0.04856039500147783,0.09712079000295566
828,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Originaliteit,-0.09074425108007848,0.027649308648522008,0.1183935597286005,0.03365486136363009,0.06730972272726019
842,c22e1828-5784-556c-a41b-541e88bbe819,Conformisme,Originaliteit,0.09671159559281414,0.027649308648522008,-0.06906228694429213,0.03365486136363009,0.06730972272726019
854,24e2d531-6fab-5f5b-9282-a488302c6547,Conformisme,Positivisme,0.6691858244715857,0.7116979094247682,0.04251208495318248,0.019078103930138788,0.038156207860277576
892,c22e1828-5784-556c-a41b-541e88bbe819,Conformisme,Regelmaat,-0.07358816435359249,-0.19364420497193438,-0.1200560406183419,0.044807613089712955,0.08961522617942591
908,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Sociaal Ontspannen,0.2833793594154206,0.11115089014901679,-0.17222846926640378,0.04538260084882658,0.09076520169765316
933,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Status,0.38620789851444254,0.218419353799703,-0.16778854471473953,0.04882137056130461,0.09764274112260922
953,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Variatiebehoefte,0.2650523745553587,0.3801058731119256,0.11505349855656694,0.03793993999995929,0.07587987999991858
958,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Variatiebehoefte,0.4890812132043304,0.3801058731119256,-0.10897534009240478,0.03793993999995929,0.07587987999991858
979,24e2d531-6fab-5f5b-9282-a488302c6547,Conformisme,Vertrouwen,0.4530515222556722,0.514683767769058,0.06163224551338581,0.02900940380241828,0.05801880760483656
992,c22e1828-5784-556c-a41b-541e88bbe819,Conformisme,Vertrouwen,0.4528238599483493,0.514683767769058,0.061859907820708715,0.02900940380241828,0.05801880760483656
1003,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Volharding,0.512391895472064,0.5979615332506438,0.08556963777857984,0.030028817092634368,0.060057634185268736
1008,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Volharding,0.6587591771325105,0.5979615332506438,-0.0607976438818667,0.030028817092634368,0.060057634185268736
1009,3e44802d-3364-5f3a-af67-a038e335a656,Conformisme,Volharding,0.5354608213966117,0.5979615332506438,0.06250071185403216,0.030028817092634368,0.060057634185268736
1028,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Weloverwogen,0.19125921305936244,0.29977384708873084,0.1085146340293684,0.03828387668483856,0.07656775336967712
1067,c22e1828-5784-556c-a41b-541e88bbe819,Conformisme,Zelfonthulling,0.11476717210243592,0.243017185771006,0.12825001366857008,0.03309965360168108,0.06619930720336216
1078,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Zelfontwikkeling,0.4890496800270429,0.5810743123847892,0.09202463235774633,0.03265318442663826,0.06530636885327652
1079,24e2d531-6fab-5f5b-9282-a488302c6547,Conformisme,Zelfontwikkeling,0.5058737474688006,0.5810743123847892,0.07520056491598859,0.03265318442663826,0.06530636885327652
1108,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Zelfvertoon,0.10486120866546683,-0.07233393492970545,-0.1771951435951723,0.048304489369802965,0.09660897873960593
1111,980717fa-cb0e-5995-a07f-d7eabf81f302,Conformisme,Zelfvertoon,-0.17915069179971882,-0.07233393492970545,0.10681675687001337,0.048304489369802965,0.09660897873960593
1134,3e44802d-3364-5f3a-af67-a038e335a656,Conformisme,Zelfvertrouwen,0.15462214570287275,0.2656948697685335,0.11107272406566077,0.044520724539833516,0.08904144907966703
1135,645025be-9089-5afa-a2e1-5b77a6593f13,Conformisme,Zelfvertrouwen,0.39542642472826106,0.2656948697685335,-0.12973155495972755,0.044520724539833516,0.08904144907966703
1154,24e2d531-6fab-5f5b-9282-a488302c6547,Conformisme,Zorgzaamheid,0.43451988605903075,0.3320390533674711,-0.10248083269155966,0.047730970895414386,0.09546194179082877
1159,3e44802d-3364-5f3a-af67-a038e335a656,Conformisme,Zorgzaamheid,0.22264930152958176,0.3320390533674711,0.10938975183788932,0.047730970895414386,0.09546194179082877
1178,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Dominantie,0.5612619599948903,0.4558823529411764,-0.10537960705371385,0.038344941853137485,0.07668988370627497
1189,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Contactbehoefte,Dominantie,0.36436385689026457,0.4558823529411764,0.09151849605091184,0.038344941853137485,0.07668988370627497
1203,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Energie,0.6285320806524654,0.6984173839695067,0.06988530331704135,0.02479135579945519,0.04958271159891038
1216,61369f33-c11d-5d29-80ed-d751b8246cd1,Contactbehoefte,Energie,0.7550272936351446,0.6984173839695067,-0.05660990966563795,0.02479135579945519,0.04958271159891038
1228,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Frustratietolerantie,0.22716844980576847,0.36509825132802176,0.1379298015222533,0.03784597525386388,0.07569195050772776
1253,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Hartelijkheid,0.6962780534174018,0.7500162314825856,0.05373817806518377,0.01818756917176239,0.03637513834352478
1254,24e2d531-6fab-5f5b-9282-a488302c6547,Contactbehoefte,Hartelijkheid,0.7878022502155809,0.7500162314825856,-0.03778601873299536,0.01818756917176239,0.03637513834352478
1278,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Incasseringsvermogen,0.21417646843905971,0.3102358467576124,0.09605937831855269,0.033086391898642924,0.06617278379728585
1303,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Nauwkeurigheid,-0.10671832556940662,0.1189310267901664,0.225649352359573,0.05815326250297807,0.11630652500595615
1314,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Contactbehoefte,Nauwkeurigheid,0.23862064383403014,0.1189310267901664,-0.11968961704386374,0.05815326250297807,0.11630652500595615
1328,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Onafhankelijkheid,-0.220466441918725,-0.2962925499493186,-0.07582610803059359,0.03158048551827093,0.06316097103654186
1346,fe1661b9-4971-54a3-b310-1b7dadb63fcc,Contactbehoefte,Onafhankelijkheid,-0.36465525985638375,-0.2962925499493186,0.06836270990706517,0.03158048551827093,0.06316097103654186
1353,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Ordelijkheid,0.2522558770830439,0.37331434582924444,0.12105846874620052,0.05083556007261837,0.10167112014523674
1364,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Contactbehoefte,Ordelijkheid,0.5524683216096101,0.37331434582924444,-0.17915397578036568,0.05083556007261837,0.10167112014523674
1378,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Originaliteit,-0.14990135479061806,-0.003963762451287461,0.1459375923393306,0.04684276429780625,0.0936855285956125
1397,0b8c4ad8-0c0a-58a8-9c41-6afa58400dc3,Contactbehoefte,Originaliteit,0.15081991356510246,-0.003963762451287461,-0.15478367601638993,0.04684276429780625,0.0936855285956125
1439,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Contactbehoefte,Regelmaat,-0.2590235189306047,-0.3829627528325664,-0.12393923390196171,0.03872257130458016,0.07744514260916031
1458,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Contactbehoefte,Sociaal Ontspannen,0.6608279264582397,0.6969935537404635,0.03616562728222372,0.018061571427343694,0.03612314285468739
1462,5e3ed26e-b8d0-53f5-be5a-38296109877d,Contactbehoefte,Sociaal Ontspannen,0.7437272313419944,0.6969935537404635,-0.04673367760153091,0.018061571427343694,0.03612314285468739
1472,0b8c4ad8-0c0a-58a8-9c41-6afa58400dc3,Contactbehoefte,Sociaal Ontspannen,0.6608279264582398,0.6969935537404635,0.03616562728222361,0.018061571427343694,0.03612314285468739
1478,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Status,0.3836533914432731,0.4565855031244517,0.07293211168117858,0.0316883577729006,0.0633767155458012
1483,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Contactbehoefte,Status,0.38364708423849025,0.4565855031244517,0.07293841888596142,0.0316883577729006,0.0633767155458012
1497,0b8c4ad8-0c0a-58a8-9c41-6afa58400dc3,Contactbehoefte,Status,0.529201224784732,0.4565855031244517,-0.0726157216602803,0.0316883577729006,0.0633767155458012
1503,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Variatiebehoefte,0.5452986300198901,0.6271086921281467,0.08181006210825659,0.027585210216610527,0.055170420433221054
1539,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Contactbehoefte,Vertrouwen,0.31146803645223403,0.39199676604002015,0.08052872958778612,0.03579926214542344,0.07159852429084688
1553,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Volharding,0.38551764319030746,0.5130114748339736,0.12749383164366612,0.0329360781584741,0.0658721563169482
1578,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Weloverwogen,0.028042282248580356,0.17883194523074067,0.15078966298216032,0.04290084018539688,0.08580168037079376
1614,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Contactbehoefte,Zelfonthulling,0.26821511667320685,0.3685967972443574,0.10038168057115054,0.04067393152500064,0.08134786305000127
1617,c22e1828-5784-556c-a41b-541e88bbe819,Contactbehoefte,Zelfonthulling,0.46366767731610864,0.3685967972443574,-0.09507088007175124,0.04067393152500064,0.08134786305000127
1622,0b8c4ad8-0c0a-58a8-9c41-6afa58400dc3,Contactbehoefte,Zelfonthulling,0.27122782480347934,0.3685967972443574,0.09736897244087805,0.04067393152500064,0.08134786305000127
1628,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Zelfontwikkeling,0.13393006619211584,0.3195195771482484,0.18558951095613258,0.047225693416225435,0.09445138683245087
1658,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Contactbehoefte,Zelfvertoon,0.4618141712954013,0.5316456139417773,0.06983144264637603,0.027688077734954023,0.055376155469908046
1685,645025be-9089-5afa-a2e1-5b77a6593f13,Contactbehoefte,Zelfvertrouwen,0.4386519218333726,0.36235689728278025,-0.07629502455059234,0.03286233868299397,0.06572467736598794
1695,54607c72-f7f0-5106-874f-ff352975ea48,Contactbehoefte,Zelfvertrouwen,0.4408477652924149,0.36235689728278025,-0.07849086800963462,0.03286233868299397,0.06572467736598794
1697,0b8c4ad8-0c0a-58a8-9c41-6afa58400dc3,Contactbehoefte,Zelfvertrouwen,0.2961074077666914,0.36235689728278025,0.06624948951608883,0.03286233868299397,0.06572467736598794
1703,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Zorgzaamheid,0.4623423337548834,0.5288268409394594,0.06648450718457605,0.02984571212618352,0.05969142425236704
1721,fe1661b9-4971-54a3-b310-1b7dadb63fcc,Contactbehoefte,Zorgzaamheid,0.6003762640488962,0.5288268409394594,-0.0715494231094368,0.02984571212618352,0.05969142425236704
1728,eb695653-6a34-557a-aa9b-90a16a666a9b,Dominantie,Energie,0.5801443087415945,0.48107770853843645,-0.09906660020315805,0.03189121995055171,0.06378243990110342
1733,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Dominantie,Energie,0.39860895077493114,0.48107770853843645,0.08246875776350532,0.03189121995055171,0.06378243990110342
1754,24e2d531-6fab-5f5b-9282-a488302c6547,Dominantie,Frustratietolerantie,0.31597287317483175,0.24588249579234117,-0.07009037738249058,0.03456970701307322,0.06913941402614644
1755,376aa464-a5f7-5aed-acd9-7dceb37ded9d,Dominantie,Frustratietolerantie,0.17405537228388457,0.24588249579234117,0.0718271235084566,0.03456970701307322,0.06913941402614644
1778,eb695653-6a34-557a-aa9b-90a16a666a9b,Dominantie,Hartelijkheid,0.5666000836347869,0.4761616206451941,-0.0904384629895928,0.03282281375178074,0.06564562750356148
